scale,clip,derive,reduce,model,accuracy
False,False,True,False,random_forest_rfe,0.7952380952380952
False,False,True,False,random_forest,0.7421052631578947
False,False,True,False,random_forest_rfe,0.7289719626168224
True,True,True,False,random_forest,0.7285067873303167
False,True,False,False,random_forest,0.7213930348258707
True,True,True,False,gradient_boosting,0.7194570135746606
False,False,True,False,random_forest,0.7091836734693877
False,False,True,False,random_forest,0.7081339712918661
False,False,True,False,gradient_boosting,0.7046413502109705
False,False,True,False,random_forest,0.7024390243902439
False,False,False,False,random_forest_rfe,0.7009345794392523
False,True,True,False,random_forest,0.698019801980198
False,False,True,False,random_forest,0.6956521739130435
False,True,True,False,random_forest,0.6923076923076923
False,True,True,False,random_forest,0.6882352941176471
False,False,False,False,random_forest,0.68
False,True,True,False,logistic_regression,0.6766169154228856
False,False,False,False,random_forest_rfe,0.675531914893617
False,False,False,False,logistic_regression,0.6703910614525139
False,False,False,False,gradient_boosting,0.6684782608695652
False,False,True,False,random_forest,0.6684782608695652
False,False,False,False,gradient_boosting,0.6684782608695652
False,True,False,False,gradient_boosting,0.6683168316831684
True,False,True,False,gradient_boosting,0.6565656565656566
True,False,True,False,logistic_regression,0.6548223350253807
False,False,False,False,random_forest,0.6518987341772152
False,True,True,False,gradient_boosting,0.6480446927374302
True,True,True,False,random_forest,0.643979057591623
True,True,False,False,random_forest,0.635
True,False,True,False,random_forest,0.6336633663366337
False,False,True,False,random_forest_rfe,0.6298342541436464
False,False,False,False,random_forest,0.6292682926829268
True,True,True,False,random_forest,0.6285714285714286
True,False,False,False,random_forest,0.6237113402061856
False,True,False,False,random_forest,0.6236559139784946
False,False,True,False,random_forest,0.6223404255319149
True,False,False,False,random_forest,0.6180904522613065
True,True,True,False,MLP,0.6161137440758294
True,True,True,False,random_forest,0.6157635467980296
True,True,True,False,random_forest,0.6138613861386139
False,False,True,False,logistic_regression,0.6057692307692307
True,True,True,False,logistic_regression,0.5977011494252874
False,False,False,False,random_forest,0.5958549222797928
False,True,True,False,random_forest,0.5885416666666666
False,True,False,False,logistic_regression,0.5875706214689266
True,False,False,False,MLP,0.5873015873015873
True,False,True,False,MLP,0.5868544600938967
True,False,True,False,random_forest,0.5838150289017341
True,False,False,False,gradient_boosting,0.5737704918032787
True,True,False,False,MLP,0.5439560439560439
True,False,True,False,random_forest,0.5384615384615384
True,True,False,False,logistic_regression,0.5300546448087432
True,True,False,False,random_forest,0.5141509433962265
True,True,False,False,gradient_boosting,0.5123152709359606
True,False,False,False,logistic_regression,0.4709302325581395
False,False,False,True,random_forest,0.4631578947368421
True,False,False,True,random_forest,0.4396135265700483
False,True,False,True,logistic_regression,0.3989361702127659
False,False,True,True,gradient_boosting,0.3473684210526316
False,False,True,True,logistic_regression,0.3170731707317073
True,False,True,True,MLP,0.3031674208144796
False,False,False,True,gradient_boosting,0.3020833333333333
True,False,True,True,gradient_boosting,0.2912087912087912
True,False,True,True,random_forest,0.2857142857142857
False,False,False,True,random_forest,0.2811059907834101
True,True,False,True,random_forest,0.2769230769230769
True,True,True,True,logistic_regression,0.2763819095477386
False,True,False,True,random_forest,0.2688172043010752
False,True,True,True,logistic_regression,0.2263157894736842
False,True,False,True,random_forest,0.2083333333333333
False,False,False,False,MLP,0.2083333333333333
True,False,False,True,MLP,0.1840796019900497
False,True,True,False,MLP,0.1774193548387097
False,True,True,True,gradient_boosting,0.1702127659574468
True,True,True,True,gradient_boosting,0.1530054644808743
False,False,True,True,random_forest,0.1290322580645161
True,True,False,True,random_forest,0.1133004926108374
False,True,False,True,MLP,0.1067961165048543
False,False,False,True,MLP,0.1061946902654867
False,True,False,True,gradient_boosting,0.1037735849056603
False,True,True,True,MLP,0.0833333333333333
False,True,True,True,random_forest,0.0744680851063829
True,False,False,True,logistic_regression,0.0701754385964912
False,False,True,True,random_forest,0.0684931506849315
True,True,False,True,gradient_boosting,0.0666666666666666
False,True,False,False,MLP,0.0505617977528089
True,True,False,True,MLP,0.0459183673469387
False,True,True,True,random_forest,0.0445544554455445
True,False,True,True,random_forest,0.0443349753694581
False,False,True,False,MLP,0.035
True,True,False,True,logistic_regression,0.0336538461538461
False,False,False,True,logistic_regression,0.0260416666666666
True,False,False,True,gradient_boosting,0.0178571428571428
True,False,False,True,random_forest,0.0160427807486631
True,True,True,True,random_forest,0.0149253731343283
True,True,True,True,MLP,0.011049723756906
False,False,True,True,MLP,0.0051282051282051
True,False,True,True,logistic_regression,0.0
True,True,True,True,random_forest,0.0
